
#TBID:2021-09-30 02:30:00;SAM_84C8;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-09-30_02-30-00_000_985
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-09-30 02:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84C8
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_12-14-03_013_778
IDDataCal = DLAB_2015-08-24_11-04-47_772_747
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 697
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1366 0 0
 2 1363 0 0
 3 1363 0 0
 4 1365 0 0
 5 1358 0 0
 6 1360 0 0
 7 1358 0 0
 8 1362 0 0
 9 1360 0 0
 10 1359 0 0
 11 1360 0 0
 12 1368 0 0
 13 1364 0 0
 14 1362 0 0
 15 1370 0 0
 16 1372 0 0
 17 1372 0 0
 18 1376 0 0
 19 1381 0 0
 20 1378 0 0
 21 1388 0 0
 22 1386 0 0
 23 1392 0 0
 24 1391 0 0
 25 1392 0 0
 26 1388 0 0
 27 1391 0 0
 28 1393 0 0
 29 1389 0 0
 30 1393 0 0
 31 1394 0 0
 32 1396 0 0
 33 1392 0 0
 34 1391 0 0
 35 1392 0 0
 36 1390 0 0
 37 1400 0 0
 38 1394 0 0
 39 1388 0 0
 40 1393 0 0
 41 1388 0 0
 42 1392 0 0
 43 1397 0 0
 44 1387 0 0
 45 1391 0 0
 46 1394 0 0
 47 1391 0 0
 48 1389 0 0
 49 1400 0 0
 50 1388 0 0
 51 1393 0 0
 52 1393 0 0
 53 1396 0 0
 54 1383 0 0
 55 1395 0 0
 56 1396 0 0
 57 1395 0 0
 58 1392 0 0
 59 1389 0 0
 60 1391 0 0
 61 1396 0 0
 62 1408 0 0
 63 1395 0 0
 64 1390 0 0
 65 1396 0 0
 66 1398 0 0
 67 1393 0 0
 68 1401 0 0
 69 1395 0 0
 70 1400 0 0
 71 1399 0 0
 72 1400 0 0
 73 1394 0 0
 74 1405 0 0
 75 1404 0 0
 76 1403 0 0
 77 1402 0 0
 78 1400 0 0
 79 1404 0 0
 80 1402 0 0
 81 1404 0 0
 82 1401 0 0
 83 1405 0 0
 84 1404 0 0
 85 1399 0 0
 86 1399 0 0
 87 1405 0 0
 88 1403 0 0
 89 1398 0 0
 90 1401 0 0
 91 1404 0 0
 92 1405 0 0
 93 1398 0 0
 94 1407 0 0
 95 1402 0 0
 96 1406 0 0
 97 1402 0 0
 98 1402 0 0
 99 1400 0 0
 100 1405 0 0
 101 1414 0 0
 102 1403 0 0
 103 1400 0 0
 104 1402 0 0
 105 1409 0 0
 106 1405 0 0
 107 1405 0 0
 108 1402 0 0
 109 1406 0 0
 110 1417 0 0
 111 1413 0 0
 112 1405 0 0
 113 1407 0 0
 114 1402 0 0
 115 1411 0 0
 116 1410 0 0
 117 1406 0 0
 118 1404 0 0
 119 1410 0 0
 120 1400 0 0
 121 1404 0 0
 122 1403 0 0
 123 1404 0 0
 124 1405 0 0
 125 1414 0 0
 126 1406 0 0
 127 1415 0 0
 128 1409 0 0
 129 1408 0 0
 130 1409 0 0
 131 1407 0 0
 132 1410 0 0
 133 1446 0 0
 134 1410 0 0
 135 1412 0 0
 136 1406 0 0
 137 1412 0 0
 138 1410 0 0
 139 1416 0 0
 140 1406 0 0
 141 1407 0 0
 142 1414 0 0
 143 1415 0 0
 144 1410 0 0
 145 1414 0 0
 146 1413 0 0
 147 1405 0 0
 148 1413 0 0
 149 1409 0 0
 150 1405 0 0
 151 1406 0 0
 152 1412 0 0
 153 1411 0 0
 154 1406 0 0
 155 1411 0 0
 156 1413 0 0
 157 1414 0 0
 158 1409 0 0
 159 1413 0 0
 160 1409 0 0
 161 1404 0 0
 162 1417 0 0
 163 1407 0 0
 164 1406 0 0
 165 1417 0 0
 166 1408 0 0
 167 1410 0 0
 168 1410 0 0
 169 1411 0 0
 170 1413 0 0
 171 1413 0 0
 172 1409 0 0
 173 1407 0 0
 174 1412 0 0
 175 1413 0 0
 176 1407 0 0
 177 1409 0 0
 178 1407 0 0
 179 1412 0 0
 180 1408 0 0
 181 1414 0 0
 182 1407 0 0
 183 1414 0 0
 184 1408 0 0
 185 1410 0 0
 186 1408 0 0
 187 1418 0 0
 188 1413 0 0
 189 1412 0 0
 190 1405 0 0
 191 1410 0 0
 192 1412 0 0
 193 1403 0 0
 194 1408 0 0
 195 1408 0 0
 196 1405 0 0
 197 1407 0 0
 198 1412 0 0
 199 1409 0 0
 200 1405 0 0
 201 1415 0 0
 202 1409 0 0
 203 1407 0 0
 204 1410 0 0
 205 1411 0 0
 206 1411 0 0
 207 1405 0 0
 208 1407 0 0
 209 1407 0 0
 210 1405 0 0
 211 1411 0 0
 212 1411 0 0
 213 1412 0 0
 214 1410 0 0
 215 1412 0 0
 216 1407 0 0
 217 1412 0 0
 218 1411 0 0
