
#TBID:2021-10-22 00:30:00;SAM_84C8;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-10-22_00-30-00_000_495
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-10-22 00:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84C8
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_12-14-03_013_778
IDDataCal = DLAB_2015-08-24_11-04-47_772_747
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 748
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1284 0 0
 2 1272 0 0
 3 1279 0 0
 4 1282 0 0
 5 1280 0 0
 6 1277 0 0
 7 1280 0 0
 8 1281 0 0
 9 1285 0 0
 10 1272 0 0
 11 1286 0 0
 12 1282 0 0
 13 1280 0 0
 14 1280 0 0
 15 1280 0 0
 16 1284 0 0
 17 1290 0 0
 18 1288 0 0
 19 1289 0 0
 20 1289 0 0
 21 1293 0 0
 22 1296 0 0
 23 1298 0 0
 24 1294 0 0
 25 1296 0 0
 26 1289 0 0
 27 1296 0 0
 28 1295 0 0
 29 1297 0 0
 30 1300 0 0
 31 1298 0 0
 32 1300 0 0
 33 1297 0 0
 34 1297 0 0
 35 1300 0 0
 36 1301 0 0
 37 1305 0 0
 38 1307 0 0
 39 1296 0 0
 40 1300 0 0
 41 1299 0 0
 42 1300 0 0
 43 1296 0 0
 44 1301 0 0
 45 1308 0 0
 46 1303 0 0
 47 1304 0 0
 48 1306 0 0
 49 1306 0 0
 50 1304 0 0
 51 1309 0 0
 52 1304 0 0
 53 1300 0 0
 54 1299 0 0
 55 1306 0 0
 56 1308 0 0
 57 1303 0 0
 58 1302 0 0
 59 1304 0 0
 60 1301 0 0
 61 1302 0 0
 62 1310 0 0
 63 1311 0 0
 64 1304 0 0
 65 1309 0 0
 66 1304 0 0
 67 1303 0 0
 68 1309 0 0
 69 1307 0 0
 70 1316 0 0
 71 1305 0 0
 72 1315 0 0
 73 1313 0 0
 74 1312 0 0
 75 1316 0 0
 76 1316 0 0
 77 1315 0 0
 78 1315 0 0
 79 1316 0 0
 80 1312 0 0
 81 1314 0 0
 82 1314 0 0
 83 1318 0 0
 84 1314 0 0
 85 1317 0 0
 86 1311 0 0
 87 1314 0 0
 88 1311 0 0
 89 1312 0 0
 90 1315 0 0
 91 1316 0 0
 92 1312 0 0
 93 1310 0 0
 94 1316 0 0
 95 1316 0 0
 96 1314 0 0
 97 1314 0 0
 98 1315 0 0
 99 1312 0 0
 100 1315 0 0
 101 1318 0 0
 102 1315 0 0
 103 1318 0 0
 104 1312 0 0
 105 1320 0 0
 106 1312 0 0
 107 1309 0 0
 108 1307 0 0
 109 1308 0 0
 110 1318 0 0
 111 1318 0 0
 112 1314 0 0
 113 1319 0 0
 114 1314 0 0
 115 1313 0 0
 116 1317 0 0
 117 1310 0 0
 118 1313 0 0
 119 1315 0 0
 120 1310 0 0
 121 1309 0 0
 122 1312 0 0
 123 1320 0 0
 124 1312 0 0
 125 1316 0 0
 126 1311 0 0
 127 1322 0 0
 128 1320 0 0
 129 1315 0 0
 130 1310 0 0
 131 1317 0 0
 132 1316 0 0
 133 1349 0 0
 134 1317 0 0
 135 1309 0 0
 136 1313 0 0
 137 1317 0 0
 138 1314 0 0
 139 1315 0 0
 140 1311 0 0
 141 1309 0 0
 142 1317 0 0
 143 1317 0 0
 144 1317 0 0
 145 1316 0 0
 146 1316 0 0
 147 1312 0 0
 148 1313 0 0
 149 1311 0 0
 150 1308 0 0
 151 1314 0 0
 152 1317 0 0
 153 1308 0 0
 154 1311 0 0
 155 1307 0 0
 156 1313 0 0
 157 1315 0 0
 158 1316 0 0
 159 1305 0 0
 160 1310 0 0
 161 1310 0 0
 162 1309 0 0
 163 1313 0 0
 164 1306 0 0
 165 1313 0 0
 166 1311 0 0
 167 1313 0 0
 168 1316 0 0
 169 1311 0 0
 170 1317 0 0
 171 1313 0 0
 172 1308 0 0
 173 1305 0 0
 174 1312 0 0
 175 1311 0 0
 176 1310 0 0
 177 1313 0 0
 178 1306 0 0
 179 1310 0 0
 180 1312 0 0
 181 1311 0 0
 182 1311 0 0
 183 1309 0 0
 184 1306 0 0
 185 1310 0 0
 186 1312 0 0
 187 1314 0 0
 188 1308 0 0
 189 1313 0 0
 190 1310 0 0
 191 1308 0 0
 192 1308 0 0
 193 1308 0 0
 194 1307 0 0
 195 1312 0 0
 196 1305 0 0
 197 1312 0 0
 198 1310 0 0
 199 1304 0 0
 200 1307 0 0
 201 1309 0 0
 202 1309 0 0
 203 1304 0 0
 204 1314 0 0
 205 1308 0 0
 206 1311 0 0
 207 1310 0 0
 208 1311 0 0
 209 1302 0 0
 210 1304 0 0
 211 1310 0 0
 212 1310 0 0
 213 1307 0 0
 214 1313 0 0
 215 1312 0 0
 216 1309 0 0
 217 1308 0 0
 218 1305 0 0
