
#TBID:2021-02-02 00:00:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-02-02_00-00-00_000_929
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-02-02 00:00:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 1992
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1237 0 0
 2 1238 0 0
 3 1232 0 0
 4 1244 0 0
 5 1242 0 0
 6 1237 0 0
 7 1236 0 0
 8 1239 0 0
 9 1245 0 0
 10 1242 0 0
 11 1244 0 0
 12 1244 0 0
 13 1245 0 0
 14 1245 0 0
 15 1243 0 0
 16 1241 0 0
 17 1236 0 0
 18 1243 0 0
 19 1243 0 0
 20 1249 0 0
 21 1244 0 0
 22 1241 0 0
 23 1251 0 0
 24 1249 0 0
 25 1245 0 0
 26 1248 0 0
 27 1247 0 0
 28 1243 0 0
 29 1248 0 0
 30 1243 0 0
 31 1249 0 0
 32 1246 0 0
 33 1244 0 0
 34 1242 0 0
 35 1242 0 0
 36 1252 0 0
 37 1248 0 0
 38 1248 0 0
 39 1245 0 0
 40 1248 0 0
 41 1250 0 0
 42 1252 0 0
 43 1247 0 0
 44 1243 0 0
 45 1250 0 0
 46 1251 0 0
 47 1256 0 0
 48 1249 0 0
 49 1243 0 0
 50 1252 0 0
 51 1251 0 0
 52 1243 0 0
 53 1253 0 0
 54 1250 0 0
 55 1248 0 0
 56 1249 0 0
 57 1247 0 0
 58 1253 0 0
 59 1252 0 0
 60 1247 0 0
 61 1250 0 0
 62 1251 0 0
 63 1248 0 0
 64 1250 0 0
 65 1248 0 0
 66 1249 0 0
 67 1254 0 0
 68 1252 0 0
 69 1247 0 0
 70 1243 0 0
 71 1243 0 0
 72 1252 0 0
 73 1251 0 0
 74 1248 0 0
 75 1249 0 0
 76 1254 0 0
 77 1250 0 0
 78 1248 0 0
 79 1251 0 0
 80 1254 0 0
 81 1250 0 0
 82 1250 0 0
 83 1245 0 0
 84 1249 0 0
 85 1250 0 0
 86 1252 0 0
 87 1254 0 0
 88 1253 0 0
 89 1250 0 0
 90 1254 0 0
 91 1255 0 0
 92 1250 0 0
 93 1255 0 0
 94 1252 0 0
 95 1251 0 0
 96 1244 0 0
 97 1250 0 0
 98 1256 0 0
 99 1257 0 0
 100 1256 0 0
 101 1254 0 0
 102 1256 0 0
 103 1257 0 0
 104 1260 0 0
 105 1255 0 0
 106 1256 0 0
 107 1254 0 0
 108 1249 0 0
 109 1263 0 0
 110 1255 0 0
 111 1260 0 0
 112 1257 0 0
 113 1255 0 0
 114 1256 0 0
 115 1253 0 0
 116 1249 0 0
 117 1252 0 0
 118 1256 0 0
 119 1258 0 0
 120 1251 0 0
 121 1257 0 0
 122 1256 0 0
 123 1253 0 0
 124 1250 0 0
 125 1250 0 0
 126 1255 0 0
 127 1250 0 0
 128 1257 0 0
 129 1250 0 0
 130 1253 0 0
 131 1262 0 0
 132 1252 0 0
 133 1258 0 0
 134 1254 0 0
 135 1256 0 0
 136 1254 0 0
 137 1260 0 0
 138 1244 0 0
 139 1256 0 0
 140 1257 0 0
 141 1255 0 0
 142 1254 0 0
 143 1255 0 0
 144 1254 0 0
 145 1264 0 0
 146 1259 0 0
 147 1248 0 0
 148 1255 0 0
 149 1256 0 0
 150 1256 0 0
 151 1255 0 0
 152 1256 0 0
 153 1255 0 0
 154 1253 0 0
 155 1256 0 0
 156 1259 0 0
 157 1256 0 0
 158 1254 0 0
 159 1253 0 0
 160 1258 0 0
 161 1259 0 0
 162 1258 0 0
 163 1261 0 0
 164 1255 0 0
 165 1251 0 0
 166 1258 0 0
 167 1258 0 0
 168 1253 0 0
 169 1257 0 0
 170 1255 0 0
 171 1259 0 0
 172 1260 0 0
 173 1255 0 0
 174 1254 0 0
 175 1260 0 0
 176 1254 0 0
 177 1258 0 0
 178 1259 0 0
 179 1256 0 0
 180 1255 0 0
 181 1259 0 0
 182 1257 0 0
 183 1253 0 0
 184 1255 0 0
 185 1261 0 0
 186 1258 0 0
 187 1261 0 0
 188 1258 0 0
 189 1251 0 0
 190 1253 0 0
 191 1254 0 0
 192 1254 0 0
 193 1256 0 0
 194 1255 0 0
 195 1249 0 0
 196 1253 0 0
 197 1260 0 0
 198 1258 0 0
 199 1257 0 0
 200 1255 0 0
 201 1257 0 0
 202 1259 0 0
 203 1253 0 0
 204 1251 0 0
 205 1260 0 0
 206 1256 0 0
 207 1257 0 0
 208 1257 0 0
 209 1257 0 0
 210 1254 0 0
 211 1257 0 0
 212 1253 0 0
 213 1258 0 0
 214 1258 0 0
 215 1260 0 0
 216 1258 0 0
 217 1255 0 0
