
#TBID:2021-12-27 00:30:00;SAM_84C8;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-12-27_00-30-00_000_485
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-12-27 00:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84C8
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_12-14-03_013_778
IDDataCal = DLAB_2015-08-24_11-04-47_772_747
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 2147
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1345 0 0
 2 1331 0 0
 3 1328 0 0
 4 1341 0 0
 5 1339 0 0
 6 1332 0 0
 7 1337 0 0
 8 1335 0 0
 9 1341 0 0
 10 1347 0 0
 11 1344 0 0
 12 1346 0 0
 13 1340 0 0
 14 1342 0 0
 15 1347 0 0
 16 1340 0 0
 17 1340 0 0
 18 1340 0 0
 19 1344 0 0
 20 1342 0 0
 21 1335 0 0
 22 1346 0 0
 23 1348 0 0
 24 1345 0 0
 25 1347 0 0
 26 1341 0 0
 27 1340 0 0
 28 1344 0 0
 29 1346 0 0
 30 1340 0 0
 31 1342 0 0
 32 1346 0 0
 33 1341 0 0
 34 1346 0 0
 35 1342 0 0
 36 1342 0 0
 37 1344 0 0
 38 1343 0 0
 39 1342 0 0
 40 1342 0 0
 41 1346 0 0
 42 1341 0 0
 43 1345 0 0
 44 1339 0 0
 45 1354 0 0
 46 1346 0 0
 47 1343 0 0
 48 1349 0 0
 49 1351 0 0
 50 1340 0 0
 51 1348 0 0
 52 1345 0 0
 53 1339 0 0
 54 1339 0 0
 55 1351 0 0
 56 1346 0 0
 57 1350 0 0
 58 1349 0 0
 59 1344 0 0
 60 1346 0 0
 61 1350 0 0
 62 1350 0 0
 63 1347 0 0
 64 1344 0 0
 65 1351 0 0
 66 1351 0 0
 67 1353 0 0
 68 1356 0 0
 69 1353 0 0
 70 1354 0 0
 71 1358 0 0
 72 1351 0 0
 73 1355 0 0
 74 1352 0 0
 75 1354 0 0
 76 1353 0 0
 77 1354 0 0
 78 1356 0 0
 79 1358 0 0
 80 1362 0 0
 81 1356 0 0
 82 1362 0 0
 83 1357 0 0
 84 1361 0 0
 85 1359 0 0
 86 1356 0 0
 87 1358 0 0
 88 1359 0 0
 89 1356 0 0
 90 1362 0 0
 91 1358 0 0
 92 1363 0 0
 93 1361 0 0
 94 1365 0 0
 95 1361 0 0
 96 1362 0 0
 97 1362 0 0
 98 1363 0 0
 99 1358 0 0
 100 1364 0 0
 101 1371 0 0
 102 1359 0 0
 103 1358 0 0
 104 1366 0 0
 105 1364 0 0
 106 1363 0 0
 107 1358 0 0
 108 1357 0 0
 109 1360 0 0
 110 1368 0 0
 111 1369 0 0
 112 1362 0 0
 113 1362 0 0
 114 1351 0 0
 115 1363 0 0
 116 1372 0 0
 117 1356 0 0
 118 1356 0 0
 119 1364 0 0
 120 1358 0 0
 121 1364 0 0
 122 1360 0 0
 123 1362 0 0
 124 1356 0 0
 125 1366 0 0
 126 1364 0 0
 127 1367 0 0
 128 1362 0 0
 129 1366 0 0
 130 1357 0 0
 131 1367 0 0
 132 1364 0 0
 133 1397 0 0
 134 1365 0 0
 135 1363 0 0
 136 1364 0 0
 137 1367 0 0
 138 1364 0 0
 139 1369 0 0
 140 1365 0 0
 141 1362 0 0
 142 1365 0 0
 143 1358 0 0
 144 1364 0 0
 145 1364 0 0
 146 1361 0 0
 147 1352 0 0
 148 1367 0 0
 149 1360 0 0
 150 1364 0 0
 151 1370 0 0
 152 1367 0 0
 153 1364 0 0
 154 1364 0 0
 155 1362 0 0
 156 1361 0 0
 157 1362 0 0
 158 1362 0 0
 159 1366 0 0
 160 1363 0 0
 161 1358 0 0
 162 1363 0 0
 163 1364 0 0
 164 1356 0 0
 165 1368 0 0
 166 1362 0 0
 167 1362 0 0
 168 1360 0 0
 169 1364 0 0
 170 1362 0 0
 171 1364 0 0
 172 1366 0 0
 173 1361 0 0
 174 1366 0 0
 175 1367 0 0
 176 1356 0 0
 177 1362 0 0
 178 1363 0 0
 179 1364 0 0
 180 1366 0 0
 181 1365 0 0
 182 1359 0 0
 183 1366 0 0
 184 1356 0 0
 185 1366 0 0
 186 1357 0 0
 187 1366 0 0
 188 1366 0 0
 189 1366 0 0
 190 1359 0 0
 191 1360 0 0
 192 1363 0 0
 193 1361 0 0
 194 1362 0 0
 195 1365 0 0
 196 1356 0 0
 197 1360 0 0
 198 1360 0 0
 199 1355 0 0
 200 1360 0 0
 201 1356 0 0
 202 1356 0 0
 203 1357 0 0
 204 1364 0 0
 205 1361 0 0
 206 1362 0 0
 207 1364 0 0
 208 1366 0 0
 209 1357 0 0
 210 1350 0 0
 211 1356 0 0
 212 1360 0 0
 213 1364 0 0
 214 1360 0 0
 215 1358 0 0
 216 1359 0 0
 217 1356 0 0
