
#TBID:2021-12-01 01:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-12-01_01-30-00_000_019
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-12-01 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 901
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1132 0 0
 2 1131 0 0
 3 1137 0 0
 4 1144 0 0
 5 1142 0 0
 6 1138 0 0
 7 1138 0 0
 8 1144 0 0
 9 1142 0 0
 10 1140 0 0
 11 1137 0 0
 12 1138 0 0
 13 1140 0 0
 14 1143 0 0
 15 1142 0 0
 16 1139 0 0
 17 1141 0 0
 18 1146 0 0
 19 1142 0 0
 20 1145 0 0
 21 1140 0 0
 22 1146 0 0
 23 1146 0 0
 24 1147 0 0
 25 1142 0 0
 26 1147 0 0
 27 1144 0 0
 28 1146 0 0
 29 1144 0 0
 30 1145 0 0
 31 1148 0 0
 32 1148 0 0
 33 1144 0 0
 34 1149 0 0
 35 1150 0 0
 36 1142 0 0
 37 1149 0 0
 38 1148 0 0
 39 1152 0 0
 40 1148 0 0
 41 1152 0 0
 42 1148 0 0
 43 1151 0 0
 44 1150 0 0
 45 1147 0 0
 46 1145 0 0
 47 1148 0 0
 48 1149 0 0
 49 1158 0 0
 50 1150 0 0
 51 1149 0 0
 52 1150 0 0
 53 1155 0 0
 54 1152 0 0
 55 1150 0 0
 56 1151 0 0
 57 1155 0 0
 58 1151 0 0
 59 1152 0 0
 60 1152 0 0
 61 1152 0 0
 62 1150 0 0
 63 1153 0 0
 64 1153 0 0
 65 1152 0 0
 66 1149 0 0
 67 1153 0 0
 68 1149 0 0
 69 1154 0 0
 70 1151 0 0
 71 1156 0 0
 72 1157 0 0
 73 1150 0 0
 74 1153 0 0
 75 1153 0 0
 76 1155 0 0
 77 1152 0 0
 78 1157 0 0
 79 1158 0 0
 80 1154 0 0
 81 1159 0 0
 82 1154 0 0
 83 1155 0 0
 84 1150 0 0
 85 1158 0 0
 86 1156 0 0
 87 1157 0 0
 88 1154 0 0
 89 1158 0 0
 90 1155 0 0
 91 1159 0 0
 92 1157 0 0
 93 1157 0 0
 94 1158 0 0
 95 1153 0 0
 96 1156 0 0
 97 1155 0 0
 98 1158 0 0
 99 1158 0 0
 100 1153 0 0
 101 1160 0 0
 102 1161 0 0
 103 1155 0 0
 104 1156 0 0
 105 1157 0 0
 106 1154 0 0
 107 1165 0 0
 108 1157 0 0
 109 1159 0 0
 110 1155 0 0
 111 1157 0 0
 112 1156 0 0
 113 1159 0 0
 114 1155 0 0
 115 1161 0 0
 116 1159 0 0
 117 1160 0 0
 118 1155 0 0
 119 1158 0 0
 120 1161 0 0
 121 1159 0 0
 122 1157 0 0
 123 1151 0 0
 124 1153 0 0
 125 1160 0 0
 126 1158 0 0
 127 1160 0 0
 128 1153 0 0
 129 1162 0 0
 130 1150 0 0
 131 1161 0 0
 132 1157 0 0
 133 1153 0 0
 134 1158 0 0
 135 1156 0 0
 136 1156 0 0
 137 1157 0 0
 138 1154 0 0
 139 1156 0 0
 140 1156 0 0
 141 1152 0 0
 142 1153 0 0
 143 1162 0 0
 144 1153 0 0
 145 1157 0 0
 146 1158 0 0
 147 1155 0 0
 148 1157 0 0
 149 1152 0 0
 150 1154 0 0
 151 1154 0 0
 152 1150 0 0
 153 1154 0 0
 154 1157 0 0
 155 1154 0 0
 156 1156 0 0
 157 1152 0 0
 158 1159 0 0
 159 1158 0 0
 160 1151 0 0
 161 1153 0 0
 162 1151 0 0
 163 1156 0 0
 164 1157 0 0
 165 1156 0 0
 166 1152 0 0
 167 1155 0 0
 168 1157 0 0
 169 1157 0 0
 170 1151 0 0
 171 1150 0 0
 172 1155 0 0
 173 1155 0 0
 174 1153 0 0
 175 1153 0 0
 176 1154 0 0
 177 1155 0 0
 178 1154 0 0
 179 1146 0 0
 180 1153 0 0
 181 1157 0 0
 182 1153 0 0
 183 1148 0 0
 184 1151 0 0
 185 1155 0 0
 186 1152 0 0
 187 1157 0 0
 188 1148 0 0
 189 1152 0 0
 190 1153 0 0
 191 1152 0 0
 192 1153 0 0
 193 1152 0 0
 194 1157 0 0
 195 1154 0 0
 196 1150 0 0
 197 1152 0 0
 198 1156 0 0
 199 1156 0 0
 200 1151 0 0
 201 1150 0 0
 202 1152 0 0
 203 1150 0 0
 204 1155 0 0
 205 1149 0 0
 206 1153 0 0
 207 1158 0 0
 208 1152 0 0
 209 1150 0 0
 210 1155 0 0
 211 1152 0 0
 212 1151 0 0
 213 1152 0 0
 214 1151 0 0
 215 1155 0 0
 216 1152 0 0
 217 1152 0 0
 218 1152 0 0
