
#TBID:2021-10-05 03:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-10-05_03-30-00_000_389
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-10-05 03:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 38
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1214 0 0
 2 1209 0 0
 3 1212 0 0
 4 1224 0 0
 5 1219 0 0
 6 1220 0 0
 7 1215 0 0
 8 1225 0 0
 9 1219 0 0
 10 1219 0 0
 11 1221 0 0
 12 1221 0 0
 13 1224 0 0
 14 1214 0 0
 15 1223 0 0
 16 1220 0 0
 17 1220 0 0
 18 1229 0 0
 19 1216 0 0
 20 1226 0 0
 21 1226 0 0
 22 1224 0 0
 23 1232 0 0
 24 1223 0 0
 25 1228 0 0
 26 1228 0 0
 27 1229 0 0
 28 1226 0 0
 29 1224 0 0
 30 1227 0 0
 31 1231 0 0
 32 1229 0 0
 33 1228 0 0
 34 1221 0 0
 35 1219 0 0
 36 1230 0 0
 37 1222 0 0
 38 1232 0 0
 39 1229 0 0
 40 1229 0 0
 41 1227 0 0
 42 1226 0 0
 43 1227 0 0
 44 1231 0 0
 45 1224 0 0
 46 1226 0 0
 47 1231 0 0
 48 1228 0 0
 49 1230 0 0
 50 1228 0 0
 51 1226 0 0
 52 1228 0 0
 53 1232 0 0
 54 1233 0 0
 55 1227 0 0
 56 1225 0 0
 57 1224 0 0
 58 1233 0 0
 59 1226 0 0
 60 1223 0 0
 61 1227 0 0
 62 1230 0 0
 63 1229 0 0
 64 1228 0 0
 65 1227 0 0
 66 1230 0 0
 67 1229 0 0
 68 1231 0 0
 69 1227 0 0
 70 1222 0 0
 71 1228 0 0
 72 1228 0 0
 73 1232 0 0
 74 1229 0 0
 75 1229 0 0
 76 1229 0 0
 77 1230 0 0
 78 1229 0 0
 79 1232 0 0
 80 1233 0 0
 81 1227 0 0
 82 1230 0 0
 83 1226 0 0
 84 1232 0 0
 85 1225 0 0
 86 1228 0 0
 87 1227 0 0
 88 1231 0 0
 89 1229 0 0
 90 1236 0 0
 91 1226 0 0
 92 1227 0 0
 93 1233 0 0
 94 1228 0 0
 95 1221 0 0
 96 1225 0 0
 97 1227 0 0
 98 1230 0 0
 99 1230 0 0
 100 1229 0 0
 101 1234 0 0
 102 1229 0 0
 103 1231 0 0
 104 1232 0 0
 105 1229 0 0
 106 1229 0 0
 107 1232 0 0
 108 1227 0 0
 109 1232 0 0
 110 1229 0 0
 111 1236 0 0
 112 1232 0 0
 113 1224 0 0
 114 1235 0 0
 115 1231 0 0
 116 1233 0 0
 117 1236 0 0
 118 1225 0 0
 119 1232 0 0
 120 1229 0 0
 121 1227 0 0
 122 1231 0 0
 123 1232 0 0
 124 1226 0 0
 125 1229 0 0
 126 1230 0 0
 127 1233 0 0
 128 1229 0 0
 129 1227 0 0
 130 1229 0 0
 131 1232 0 0
 132 1229 0 0
 133 1233 0 0
 134 1229 0 0
 135 1228 0 0
 136 1232 0 0
 137 1235 0 0
 138 1228 0 0
 139 1234 0 0
 140 1220 0 0
 141 1226 0 0
 142 1233 0 0
 143 1230 0 0
 144 1228 0 0
 145 1230 0 0
 146 1232 0 0
 147 1224 0 0
 148 1229 0 0
 149 1233 0 0
 150 1227 0 0
 151 1229 0 0
 152 1228 0 0
 153 1225 0 0
 154 1234 0 0
 155 1226 0 0
 156 1225 0 0
 157 1227 0 0
 158 1230 0 0
 159 1236 0 0
 160 1229 0 0
 161 1230 0 0
 162 1227 0 0
 163 1230 0 0
 164 1233 0 0
 165 1226 0 0
 166 1224 0 0
 167 1226 0 0
 168 1226 0 0
 169 1232 0 0
 170 1224 0 0
 171 1227 0 0
 172 1232 0 0
 173 1229 0 0
 174 1230 0 0
 175 1224 0 0
 176 1222 0 0
 177 1230 0 0
 178 1230 0 0
 179 1230 0 0
 180 1227 0 0
 181 1228 0 0
 182 1230 0 0
 183 1232 0 0
 184 1227 0 0
 185 1231 0 0
 186 1232 0 0
 187 1233 0 0
 188 1226 0 0
 189 1225 0 0
 190 1227 0 0
 191 1223 0 0
 192 1225 0 0
 193 1230 0 0
 194 1225 0 0
 195 1222 0 0
 196 1227 0 0
 197 1228 0 0
 198 1229 0 0
 199 1232 0 0
 200 1227 0 0
 201 1225 0 0
 202 1220 0 0
 203 1229 0 0
 204 1225 0 0
 205 1223 0 0
 206 1224 0 0
 207 1227 0 0
 208 1229 0 0
 209 1229 0 0
 210 1224 0 0
 211 1223 0 0
 212 1229 0 0
 213 1228 0 0
 214 1226 0 0
 215 1224 0 0
 216 1223 0 0
 217 1228 0 0
 218 1229 0 0
