
#TBID:2021-10-11 01:30:00;SAM_84DC;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-10-11_01-30-00_000_229
IDDevice           = SAM_84DC
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-10-11 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84DC
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_13-19-54_137_939
IDDataCal = DLAB_2015-08-24_10-46-55_592_608
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 222
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1346 0 0
 2 1333 0 0
 3 1346 0 0
 4 1355 0 0
 5 1349 0 0
 6 1349 0 0
 7 1351 0 0
 8 1349 0 0
 9 1355 0 0
 10 1356 0 0
 11 1354 0 0
 12 1354 0 0
 13 1357 0 0
 14 1355 0 0
 15 1350 0 0
 16 1360 0 0
 17 1364 0 0
 18 1355 0 0
 19 1355 0 0
 20 1354 0 0
 21 1357 0 0
 22 1360 0 0
 23 1362 0 0
 24 1361 0 0
 25 1363 0 0
 26 1367 0 0
 27 1363 0 0
 28 1358 0 0
 29 1364 0 0
 30 1361 0 0
 31 1364 0 0
 32 1361 0 0
 33 1358 0 0
 34 1362 0 0
 35 1364 0 0
 36 1366 0 0
 37 1366 0 0
 38 1365 0 0
 39 1364 0 0
 40 1372 0 0
 41 1365 0 0
 42 1369 0 0
 43 1364 0 0
 44 1365 0 0
 45 1365 0 0
 46 1372 0 0
 47 1368 0 0
 48 1365 0 0
 49 1363 0 0
 50 1368 0 0
 51 1366 0 0
 52 1361 0 0
 53 1364 0 0
 54 1367 0 0
 55 1369 0 0
 56 1372 0 0
 57 1368 0 0
 58 1369 0 0
 59 1370 0 0
 60 1370 0 0
 61 1368 0 0
 62 1368 0 0
 63 1369 0 0
 64 1360 0 0
 65 1366 0 0
 66 1365 0 0
 67 1367 0 0
 68 1368 0 0
 69 1365 0 0
 70 1366 0 0
 71 1368 0 0
 72 1358 0 0
 73 1365 0 0
 74 1369 0 0
 75 1365 0 0
 76 1371 0 0
 77 1362 0 0
 78 1361 0 0
 79 1364 0 0
 80 1363 0 0
 81 1368 0 0
 82 1362 0 0
 83 1364 0 0
 84 1365 0 0
 85 1374 0 0
 86 1364 0 0
 87 1360 0 0
 88 1360 0 0
 89 1367 0 0
 90 1360 0 0
 91 1357 0 0
 92 1356 0 0
 93 1356 0 0
 94 1360 0 0
 95 1364 0 0
 96 1357 0 0
 97 1361 0 0
 98 1358 0 0
 99 1356 0 0
 100 1358 0 0
 101 1364 0 0
 102 1361 0 0
 103 1358 0 0
 104 1362 0 0
 105 1362 0 0
 106 1360 0 0
 107 1368 0 0
 108 1362 0 0
 109 1362 0 0
 110 1363 0 0
 111 1364 0 0
 112 1361 0 0
 113 1358 0 0
 114 1367 0 0
 115 1363 0 0
 116 1367 0 0
 117 1366 0 0
 118 1359 0 0
 119 1365 0 0
 120 1356 0 0
 121 1368 0 0
 122 1361 0 0
 123 1365 0 0
 124 1367 0 0
 125 1364 0 0
 126 1367 0 0
 127 1370 0 0
 128 1366 0 0
 129 1360 0 0
 130 1368 0 0
 131 1367 0 0
 132 1364 0 0
 133 1365 0 0
 134 1366 0 0
 135 1368 0 0
 136 1365 0 0
 137 1366 0 0
 138 1360 0 0
 139 1368 0 0
 140 1366 0 0
 141 1366 0 0
 142 1364 0 0
 143 1372 0 0
 144 1369 0 0
 145 1359 0 0
 146 1362 0 0
 147 1366 0 0
 148 1368 0 0
 149 1362 0 0
 150 1363 0 0
 151 1369 0 0
 152 1362 0 0
 153 1369 0 0
 154 1368 0 0
 155 1369 0 0
 156 1367 0 0
 157 1369 0 0
 158 1369 0 0
 159 1370 0 0
 160 1363 0 0
 161 1363 0 0
 162 1362 0 0
 163 1368 0 0
 164 1366 0 0
 165 1371 0 0
 166 1368 0 0
 167 1370 0 0
 168 1370 0 0
 169 1370 0 0
 170 1366 0 0
 171 1371 0 0
 172 1362 0 0
 173 1372 0 0
 174 1365 0 0
 175 1363 0 0
 176 1366 0 0
 177 1364 0 0
 178 1370 0 0
 179 1365 0 0
 180 1366 0 0
 181 1364 0 0
 182 1370 0 0
 183 1364 0 0
 184 1362 0 0
 185 1368 0 0
 186 1365 0 0
 187 1370 0 0
 188 1365 0 0
 189 1366 0 0
 190 1363 0 0
 191 1367 0 0
 192 1370 0 0
 193 1369 0 0
 194 1366 0 0
 195 1362 0 0
 196 1368 0 0
 197 1368 0 0
 198 1366 0 0
 199 1375 0 0
 200 1366 0 0
 201 1369 0 0
 202 1368 0 0
 203 1373 0 0
 204 1376 0 0
 205 1371 0 0
 206 1366 0 0
 207 1372 0 0
 208 1368 0 0
 209 1370 0 0
 210 1368 0 0
 211 1371 0 0
 212 1368 0 0
 213 1366 0 0
 214 1363 0 0
 215 1374 0 0
 216 1367 0 0
 217 1374 0 0
 218 1366 0 0
