
#TBID:2021-02-20 00:00:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-02-20_00-00-00_000_569
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-02-20 00:00:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 2856
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1168 0 0
 2 1167 0 0
 3 1169 0 0
 4 1179 0 0
 5 1175 0 0
 6 1174 0 0
 7 1174 0 0
 8 1169 0 0
 9 1177 0 0
 10 1172 0 0
 11 1175 0 0
 12 1180 0 0
 13 1178 0 0
 14 1177 0 0
 15 1172 0 0
 16 1176 0 0
 17 1176 0 0
 18 1177 0 0
 19 1174 0 0
 20 1178 0 0
 21 1180 0 0
 22 1177 0 0
 23 1181 0 0
 24 1177 0 0
 25 1180 0 0
 26 1184 0 0
 27 1182 0 0
 28 1176 0 0
 29 1182 0 0
 30 1182 0 0
 31 1179 0 0
 32 1179 0 0
 33 1181 0 0
 34 1181 0 0
 35 1179 0 0
 36 1182 0 0
 37 1174 0 0
 38 1187 0 0
 39 1180 0 0
 40 1184 0 0
 41 1182 0 0
 42 1186 0 0
 43 1181 0 0
 44 1177 0 0
 45 1181 0 0
 46 1180 0 0
 47 1181 0 0
 48 1181 0 0
 49 1184 0 0
 50 1183 0 0
 51 1182 0 0
 52 1180 0 0
 53 1189 0 0
 54 1185 0 0
 55 1179 0 0
 56 1182 0 0
 57 1183 0 0
 58 1184 0 0
 59 1182 0 0
 60 1179 0 0
 61 1182 0 0
 62 1190 0 0
 63 1182 0 0
 64 1184 0 0
 65 1179 0 0
 66 1185 0 0
 67 1180 0 0
 68 1184 0 0
 69 1187 0 0
 70 1179 0 0
 71 1182 0 0
 72 1182 0 0
 73 1185 0 0
 74 1187 0 0
 75 1186 0 0
 76 1183 0 0
 77 1182 0 0
 78 1184 0 0
 79 1192 0 0
 80 1188 0 0
 81 1188 0 0
 82 1187 0 0
 83 1186 0 0
 84 1188 0 0
 85 1186 0 0
 86 1182 0 0
 87 1187 0 0
 88 1188 0 0
 89 1184 0 0
 90 1190 0 0
 91 1188 0 0
 92 1186 0 0
 93 1194 0 0
 94 1188 0 0
 95 1188 0 0
 96 1186 0 0
 97 1187 0 0
 98 1192 0 0
 99 1190 0 0
 100 1188 0 0
 101 1186 0 0
 102 1187 0 0
 103 1190 0 0
 104 1185 0 0
 105 1192 0 0
 106 1190 0 0
 107 1186 0 0
 108 1184 0 0
 109 1189 0 0
 110 1188 0 0
 111 1194 0 0
 112 1189 0 0
 113 1188 0 0
 114 1189 0 0
 115 1192 0 0
 116 1183 0 0
 117 1185 0 0
 118 1190 0 0
 119 1192 0 0
 120 1190 0 0
 121 1190 0 0
 122 1187 0 0
 123 1184 0 0
 124 1188 0 0
 125 1185 0 0
 126 1190 0 0
 127 1183 0 0
 128 1190 0 0
 129 1189 0 0
 130 1185 0 0
 131 1192 0 0
 132 1188 0 0
 133 1189 0 0
 134 1188 0 0
 135 1188 0 0
 136 1188 0 0
 137 1187 0 0
 138 1181 0 0
 139 1189 0 0
 140 1189 0 0
 141 1192 0 0
 142 1192 0 0
 143 1188 0 0
 144 1187 0 0
 145 1195 0 0
 146 1190 0 0
 147 1193 0 0
 148 1190 0 0
 149 1191 0 0
 150 1188 0 0
 151 1187 0 0
 152 1184 0 0
 153 1187 0 0
 154 1188 0 0
 155 1188 0 0
 156 1185 0 0
 157 1187 0 0
 158 1188 0 0
 159 1191 0 0
 160 1191 0 0
 161 1193 0 0
 162 1188 0 0
 163 1187 0 0
 164 1190 0 0
 165 1194 0 0
 166 1191 0 0
 167 1189 0 0
 168 1189 0 0
 169 1194 0 0
 170 1192 0 0
 171 1189 0 0
 172 1186 0 0
 173 1192 0 0
 174 1188 0 0
 175 1184 0 0
 176 1190 0 0
 177 1188 0 0
 178 1192 0 0
 179 1185 0 0
 180 1190 0 0
 181 1192 0 0
 182 1185 0 0
 183 1184 0 0
 184 1188 0 0
 185 1187 0 0
 186 1190 0 0
 187 1191 0 0
 188 1186 0 0
 189 1188 0 0
 190 1186 0 0
 191 1188 0 0
 192 1184 0 0
 193 1185 0 0
 194 1189 0 0
 195 1190 0 0
 196 1192 0 0
 197 1187 0 0
 198 1190 0 0
 199 1190 0 0
 200 1189 0 0
 201 1187 0 0
 202 1189 0 0
 203 1188 0 0
 204 1188 0 0
 205 1191 0 0
 206 1191 0 0
 207 1192 0 0
 208 1188 0 0
 209 1188 0 0
 210 1189 0 0
 211 1189 0 0
 212 1191 0 0
 213 1190 0 0
 214 1190 0 0
 215 1195 0 0
 216 1194 0 0
 217 1190 0 0
