
#TBID:2021-11-30 01:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-11-30_01-30-00_000_539
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-11-30 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 853
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1167 0 0
 2 1165 0 0
 3 1169 0 0
 4 1171 0 0
 5 1169 0 0
 6 1170 0 0
 7 1168 0 0
 8 1168 0 0
 9 1172 0 0
 10 1172 0 0
 11 1172 0 0
 12 1173 0 0
 13 1176 0 0
 14 1178 0 0
 15 1169 0 0
 16 1179 0 0
 17 1175 0 0
 18 1175 0 0
 19 1174 0 0
 20 1182 0 0
 21 1177 0 0
 22 1176 0 0
 23 1179 0 0
 24 1181 0 0
 25 1180 0 0
 26 1179 0 0
 27 1181 0 0
 28 1179 0 0
 29 1183 0 0
 30 1175 0 0
 31 1177 0 0
 32 1176 0 0
 33 1176 0 0
 34 1174 0 0
 35 1179 0 0
 36 1180 0 0
 37 1179 0 0
 38 1181 0 0
 39 1179 0 0
 40 1179 0 0
 41 1178 0 0
 42 1182 0 0
 43 1182 0 0
 44 1169 0 0
 45 1180 0 0
 46 1178 0 0
 47 1186 0 0
 48 1179 0 0
 49 1180 0 0
 50 1185 0 0
 51 1181 0 0
 52 1182 0 0
 53 1180 0 0
 54 1182 0 0
 55 1181 0 0
 56 1180 0 0
 57 1181 0 0
 58 1179 0 0
 59 1183 0 0
 60 1181 0 0
 61 1181 0 0
 62 1183 0 0
 63 1180 0 0
 64 1174 0 0
 65 1179 0 0
 66 1181 0 0
 67 1180 0 0
 68 1186 0 0
 69 1184 0 0
 70 1173 0 0
 71 1179 0 0
 72 1180 0 0
 73 1182 0 0
 74 1181 0 0
 75 1180 0 0
 76 1184 0 0
 77 1180 0 0
 78 1182 0 0
 79 1182 0 0
 80 1180 0 0
 81 1190 0 0
 82 1183 0 0
 83 1179 0 0
 84 1181 0 0
 85 1180 0 0
 86 1179 0 0
 87 1184 0 0
 88 1182 0 0
 89 1180 0 0
 90 1185 0 0
 91 1186 0 0
 92 1184 0 0
 93 1182 0 0
 94 1184 0 0
 95 1183 0 0
 96 1181 0 0
 97 1185 0 0
 98 1184 0 0
 99 1176 0 0
 100 1180 0 0
 101 1180 0 0
 102 1186 0 0
 103 1186 0 0
 104 1187 0 0
 105 1185 0 0
 106 1184 0 0
 107 1184 0 0
 108 1185 0 0
 109 1187 0 0
 110 1184 0 0
 111 1184 0 0
 112 1186 0 0
 113 1180 0 0
 114 1190 0 0
 115 1184 0 0
 116 1180 0 0
 117 1181 0 0
 118 1185 0 0
 119 1189 0 0
 120 1186 0 0
 121 1181 0 0
 122 1188 0 0
 123 1186 0 0
 124 1182 0 0
 125 1189 0 0
 126 1191 0 0
 127 1180 0 0
 128 1183 0 0
 129 1185 0 0
 130 1181 0 0
 131 1186 0 0
 132 1189 0 0
 133 1179 0 0
 134 1182 0 0
 135 1190 0 0
 136 1185 0 0
 137 1188 0 0
 138 1178 0 0
 139 1184 0 0
 140 1185 0 0
 141 1183 0 0
 142 1184 0 0
 143 1185 0 0
 144 1184 0 0
 145 1190 0 0
 146 1187 0 0
 147 1182 0 0
 148 1182 0 0
 149 1186 0 0
 150 1186 0 0
 151 1180 0 0
 152 1180 0 0
 153 1186 0 0
 154 1181 0 0
 155 1180 0 0
 156 1183 0 0
 157 1180 0 0
 158 1182 0 0
 159 1187 0 0
 160 1183 0 0
 161 1190 0 0
 162 1186 0 0
 163 1186 0 0
 164 1188 0 0
 165 1184 0 0
 166 1181 0 0
 167 1182 0 0
 168 1180 0 0
 169 1188 0 0
 170 1184 0 0
 171 1188 0 0
 172 1184 0 0
 173 1185 0 0
 174 1182 0 0
 175 1186 0 0
 176 1187 0 0
 177 1176 0 0
 178 1183 0 0
 179 1186 0 0
 180 1187 0 0
 181 1186 0 0
 182 1182 0 0
 183 1187 0 0
 184 1182 0 0
 185 1180 0 0
 186 1185 0 0
 187 1181 0 0
 188 1182 0 0
 189 1186 0 0
 190 1182 0 0
 191 1182 0 0
 192 1180 0 0
 193 1186 0 0
 194 1182 0 0
 195 1181 0 0
 196 1182 0 0
 197 1181 0 0
 198 1190 0 0
 199 1182 0 0
 200 1181 0 0
 201 1188 0 0
 202 1182 0 0
 203 1187 0 0
 204 1189 0 0
 205 1182 0 0
 206 1185 0 0
 207 1189 0 0
 208 1180 0 0
 209 1187 0 0
 210 1184 0 0
 211 1180 0 0
 212 1188 0 0
 213 1183 0 0
 214 1184 0 0
 215 1185 0 0
 216 1184 0 0
 217 1180 0 0
 218 1184 0 0
