
#TBID:2021-11-07 01:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-11-07_01-30-00_000_209
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-11-07 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 1520
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1104 0 0
 2 1095 0 0
 3 1100 0 0
 4 1111 0 0
 5 1103 0 0
 6 1101 0 0
 7 1109 0 0
 8 1107 0 0
 9 1107 0 0
 10 1105 0 0
 11 1113 0 0
 12 1112 0 0
 13 1106 0 0
 14 1108 0 0
 15 1106 0 0
 16 1110 0 0
 17 1104 0 0
 18 1108 0 0
 19 1108 0 0
 20 1109 0 0
 21 1112 0 0
 22 1109 0 0
 23 1106 0 0
 24 1114 0 0
 25 1115 0 0
 26 1111 0 0
 27 1114 0 0
 28 1110 0 0
 29 1114 0 0
 30 1113 0 0
 31 1110 0 0
 32 1111 0 0
 33 1114 0 0
 34 1112 0 0
 35 1115 0 0
 36 1115 0 0
 37 1112 0 0
 38 1117 0 0
 39 1113 0 0
 40 1114 0 0
 41 1110 0 0
 42 1119 0 0
 43 1117 0 0
 44 1109 0 0
 45 1113 0 0
 46 1117 0 0
 47 1120 0 0
 48 1116 0 0
 49 1115 0 0
 50 1110 0 0
 51 1118 0 0
 52 1116 0 0
 53 1117 0 0
 54 1112 0 0
 55 1115 0 0
 56 1120 0 0
 57 1114 0 0
 58 1117 0 0
 59 1115 0 0
 60 1118 0 0
 61 1119 0 0
 62 1122 0 0
 63 1118 0 0
 64 1114 0 0
 65 1117 0 0
 66 1121 0 0
 67 1115 0 0
 68 1119 0 0
 69 1117 0 0
 70 1117 0 0
 71 1121 0 0
 72 1121 0 0
 73 1120 0 0
 74 1118 0 0
 75 1119 0 0
 76 1121 0 0
 77 1116 0 0
 78 1121 0 0
 79 1119 0 0
 80 1121 0 0
 81 1117 0 0
 82 1116 0 0
 83 1119 0 0
 84 1119 0 0
 85 1120 0 0
 86 1119 0 0
 87 1120 0 0
 88 1115 0 0
 89 1119 0 0
 90 1123 0 0
 91 1122 0 0
 92 1121 0 0
 93 1119 0 0
 94 1119 0 0
 95 1125 0 0
 96 1118 0 0
 97 1116 0 0
 98 1121 0 0
 99 1119 0 0
 100 1126 0 0
 101 1120 0 0
 102 1120 0 0
 103 1127 0 0
 104 1127 0 0
 105 1124 0 0
 106 1121 0 0
 107 1123 0 0
 108 1120 0 0
 109 1124 0 0
 110 1122 0 0
 111 1121 0 0
 112 1117 0 0
 113 1124 0 0
 114 1125 0 0
 115 1122 0 0
 116 1116 0 0
 117 1123 0 0
 118 1122 0 0
 119 1126 0 0
 120 1121 0 0
 121 1124 0 0
 122 1125 0 0
 123 1122 0 0
 124 1124 0 0
 125 1115 0 0
 126 1122 0 0
 127 1121 0 0
 128 1124 0 0
 129 1124 0 0
 130 1123 0 0
 131 1127 0 0
 132 1123 0 0
 133 1122 0 0
 134 1119 0 0
 135 1118 0 0
 136 1124 0 0
 137 1124 0 0
 138 1118 0 0
 139 1125 0 0
 140 1119 0 0
 141 1120 0 0
 142 1118 0 0
 143 1124 0 0
 144 1118 0 0
 145 1123 0 0
 146 1120 0 0
 147 1116 0 0
 148 1126 0 0
 149 1124 0 0
 150 1124 0 0
 151 1122 0 0
 152 1125 0 0
 153 1123 0 0
 154 1119 0 0
 155 1121 0 0
 156 1120 0 0
 157 1123 0 0
 158 1118 0 0
 159 1123 0 0
 160 1124 0 0
 161 1124 0 0
 162 1123 0 0
 163 1119 0 0
 164 1123 0 0
 165 1124 0 0
 166 1118 0 0
 167 1124 0 0
 168 1121 0 0
 169 1122 0 0
 170 1119 0 0
 171 1129 0 0
 172 1121 0 0
 173 1123 0 0
 174 1121 0 0
 175 1124 0 0
 176 1120 0 0
 177 1122 0 0
 178 1124 0 0
 179 1122 0 0
 180 1128 0 0
 181 1128 0 0
 182 1120 0 0
 183 1124 0 0
 184 1121 0 0
 185 1122 0 0
 186 1126 0 0
 187 1124 0 0
 188 1123 0 0
 189 1123 0 0
 190 1125 0 0
 191 1129 0 0
 192 1124 0 0
 193 1121 0 0
 194 1118 0 0
 195 1122 0 0
 196 1121 0 0
 197 1123 0 0
 198 1128 0 0
 199 1120 0 0
 200 1124 0 0
 201 1125 0 0
 202 1124 0 0
 203 1124 0 0
 204 1121 0 0
 205 1123 0 0
 206 1124 0 0
 207 1121 0 0
 208 1122 0 0
 209 1128 0 0
 210 1127 0 0
 211 1126 0 0
 212 1120 0 0
 213 1126 0 0
 214 1125 0 0
 215 1129 0 0
 216 1124 0 0
 217 1117 0 0
