
#TBID:2021-12-06 01:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-12-06_01-30-00_000_419
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-12-06 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 1141
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1133 0 0
 2 1130 0 0
 3 1134 0 0
 4 1141 0 0
 5 1141 0 0
 6 1138 0 0
 7 1137 0 0
 8 1142 0 0
 9 1141 0 0
 10 1142 0 0
 11 1142 0 0
 12 1144 0 0
 13 1143 0 0
 14 1145 0 0
 15 1136 0 0
 16 1137 0 0
 17 1142 0 0
 18 1142 0 0
 19 1142 0 0
 20 1140 0 0
 21 1141 0 0
 22 1141 0 0
 23 1148 0 0
 24 1145 0 0
 25 1140 0 0
 26 1146 0 0
 27 1148 0 0
 28 1145 0 0
 29 1146 0 0
 30 1142 0 0
 31 1152 0 0
 32 1144 0 0
 33 1146 0 0
 34 1145 0 0
 35 1141 0 0
 36 1149 0 0
 37 1141 0 0
 38 1142 0 0
 39 1147 0 0
 40 1149 0 0
 41 1144 0 0
 42 1143 0 0
 43 1146 0 0
 44 1144 0 0
 45 1146 0 0
 46 1144 0 0
 47 1150 0 0
 48 1146 0 0
 49 1146 0 0
 50 1149 0 0
 51 1140 0 0
 52 1141 0 0
 53 1149 0 0
 54 1150 0 0
 55 1143 0 0
 56 1141 0 0
 57 1142 0 0
 58 1150 0 0
 59 1145 0 0
 60 1145 0 0
 61 1145 0 0
 62 1145 0 0
 63 1147 0 0
 64 1143 0 0
 65 1144 0 0
 66 1148 0 0
 67 1146 0 0
 68 1145 0 0
 69 1146 0 0
 70 1142 0 0
 71 1146 0 0
 72 1153 0 0
 73 1145 0 0
 74 1146 0 0
 75 1151 0 0
 76 1148 0 0
 77 1145 0 0
 78 1148 0 0
 79 1147 0 0
 80 1151 0 0
 81 1149 0 0
 82 1143 0 0
 83 1151 0 0
 84 1148 0 0
 85 1148 0 0
 86 1144 0 0
 87 1144 0 0
 88 1148 0 0
 89 1152 0 0
 90 1147 0 0
 91 1148 0 0
 92 1145 0 0
 93 1148 0 0
 94 1143 0 0
 95 1143 0 0
 96 1142 0 0
 97 1149 0 0
 98 1146 0 0
 99 1148 0 0
 100 1148 0 0
 101 1151 0 0
 102 1146 0 0
 103 1144 0 0
 104 1148 0 0
 105 1149 0 0
 106 1152 0 0
 107 1144 0 0
 108 1142 0 0
 109 1150 0 0
 110 1146 0 0
 111 1155 0 0
 112 1146 0 0
 113 1146 0 0
 114 1148 0 0
 115 1147 0 0
 116 1148 0 0
 117 1147 0 0
 118 1145 0 0
 119 1149 0 0
 120 1149 0 0
 121 1145 0 0
 122 1146 0 0
 123 1147 0 0
 124 1144 0 0
 125 1145 0 0
 126 1150 0 0
 127 1144 0 0
 128 1141 0 0
 129 1147 0 0
 130 1145 0 0
 131 1154 0 0
 132 1144 0 0
 133 1148 0 0
 134 1149 0 0
 135 1144 0 0
 136 1149 0 0
 137 1148 0 0
 138 1142 0 0
 139 1150 0 0
 140 1144 0 0
 141 1144 0 0
 142 1152 0 0
 143 1148 0 0
 144 1141 0 0
 145 1151 0 0
 146 1149 0 0
 147 1142 0 0
 148 1146 0 0
 149 1143 0 0
 150 1146 0 0
 151 1147 0 0
 152 1143 0 0
 153 1146 0 0
 154 1147 0 0
 155 1140 0 0
 156 1142 0 0
 157 1145 0 0
 158 1145 0 0
 159 1151 0 0
 160 1150 0 0
 161 1151 0 0
 162 1142 0 0
 163 1148 0 0
 164 1144 0 0
 165 1147 0 0
 166 1140 0 0
 167 1145 0 0
 168 1147 0 0
 169 1145 0 0
 170 1146 0 0
 171 1145 0 0
 172 1141 0 0
 173 1148 0 0
 174 1145 0 0
 175 1144 0 0
 176 1145 0 0
 177 1143 0 0
 178 1148 0 0
 179 1149 0 0
 180 1144 0 0
 181 1147 0 0
 182 1141 0 0
 183 1146 0 0
 184 1143 0 0
 185 1146 0 0
 186 1143 0 0
 187 1142 0 0
 188 1140 0 0
 189 1145 0 0
 190 1143 0 0
 191 1145 0 0
 192 1145 0 0
 193 1145 0 0
 194 1145 0 0
 195 1140 0 0
 196 1146 0 0
 197 1138 0 0
 198 1143 0 0
 199 1146 0 0
 200 1146 0 0
 201 1148 0 0
 202 1140 0 0
 203 1144 0 0
 204 1148 0 0
 205 1142 0 0
 206 1140 0 0
 207 1145 0 0
 208 1144 0 0
 209 1147 0 0
 210 1142 0 0
 211 1143 0 0
 212 1141 0 0
 213 1149 0 0
 214 1144 0 0
 215 1145 0 0
 216 1143 0 0
 217 1141 0 0
