
#TBID:2021-12-16 01:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-12-16_01-30-00_000_219
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-12-16 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 1621
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1121 0 0
 2 1108 0 0
 3 1113 0 0
 4 1114 0 0
 5 1112 0 0
 6 1110 0 0
 7 1110 0 0
 8 1105 0 0
 9 1113 0 0
 10 1117 0 0
 11 1115 0 0
 12 1112 0 0
 13 1112 0 0
 14 1116 0 0
 15 1114 0 0
 16 1110 0 0
 17 1112 0 0
 18 1112 0 0
 19 1108 0 0
 20 1115 0 0
 21 1114 0 0
 22 1115 0 0
 23 1115 0 0
 24 1112 0 0
 25 1108 0 0
 26 1113 0 0
 27 1114 0 0
 28 1112 0 0
 29 1108 0 0
 30 1112 0 0
 31 1113 0 0
 32 1110 0 0
 33 1112 0 0
 34 1109 0 0
 35 1113 0 0
 36 1116 0 0
 37 1116 0 0
 38 1112 0 0
 39 1110 0 0
 40 1108 0 0
 41 1112 0 0
 42 1114 0 0
 43 1111 0 0
 44 1111 0 0
 45 1113 0 0
 46 1113 0 0
 47 1118 0 0
 48 1108 0 0
 49 1109 0 0
 50 1108 0 0
 51 1105 0 0
 52 1109 0 0
 53 1109 0 0
 54 1114 0 0
 55 1109 0 0
 56 1107 0 0
 57 1108 0 0
 58 1103 0 0
 59 1107 0 0
 60 1103 0 0
 61 1104 0 0
 62 1107 0 0
 63 1111 0 0
 64 1110 0 0
 65 1102 0 0
 66 1107 0 0
 67 1108 0 0
 68 1110 0 0
 69 1103 0 0
 70 1098 0 0
 71 1106 0 0
 72 1106 0 0
 73 1105 0 0
 74 1106 0 0
 75 1104 0 0
 76 1110 0 0
 77 1108 0 0
 78 1103 0 0
 79 1103 0 0
 80 1107 0 0
 81 1104 0 0
 82 1104 0 0
 83 1101 0 0
 84 1101 0 0
 85 1100 0 0
 86 1103 0 0
 87 1100 0 0
 88 1096 0 0
 89 1102 0 0
 90 1103 0 0
 91 1104 0 0
 92 1100 0 0
 93 1097 0 0
 94 1101 0 0
 95 1100 0 0
 96 1101 0 0
 97 1099 0 0
 98 1099 0 0
 99 1097 0 0
 100 1099 0 0
 101 1101 0 0
 102 1102 0 0
 103 1101 0 0
 104 1095 0 0
 105 1094 0 0
 106 1098 0 0
 107 1097 0 0
 108 1095 0 0
 109 1095 0 0
 110 1099 0 0
 111 1100 0 0
 112 1095 0 0
 113 1096 0 0
 114 1090 0 0
 115 1098 0 0
 116 1091 0 0
 117 1088 0 0
 118 1093 0 0
 119 1094 0 0
 120 1094 0 0
 121 1097 0 0
 122 1091 0 0
 123 1088 0 0
 124 1095 0 0
 125 1086 0 0
 126 1089 0 0
 127 1084 0 0
 128 1089 0 0
 129 1090 0 0
 130 1090 0 0
 131 1092 0 0
 132 1090 0 0
 133 1087 0 0
 134 1089 0 0
 135 1087 0 0
 136 1087 0 0
 137 1087 0 0
 138 1084 0 0
 139 1089 0 0
 140 1088 0 0
 141 1084 0 0
 142 1086 0 0
 143 1084 0 0
 144 1079 0 0
 145 1083 0 0
 146 1089 0 0
 147 1080 0 0
 148 1086 0 0
 149 1078 0 0
 150 1081 0 0
 151 1085 0 0
 152 1077 0 0
 153 1082 0 0
 154 1076 0 0
 155 1077 0 0
 156 1076 0 0
 157 1080 0 0
 158 1074 0 0
 159 1082 0 0
 160 1082 0 0
 161 1082 0 0
 162 1076 0 0
 163 1079 0 0
 164 1079 0 0
 165 1076 0 0
 166 1073 0 0
 167 1075 0 0
 168 1080 0 0
 169 1079 0 0
 170 1079 0 0
 171 1078 0 0
 172 1077 0 0
 173 1083 0 0
 174 1081 0 0
 175 1071 0 0
 176 1077 0 0
 177 1072 0 0
 178 1076 0 0
 179 1079 0 0
 180 1076 0 0
 181 1077 0 0
 182 1076 0 0
 183 1073 0 0
 184 1065 0 0
 185 1074 0 0
 186 1072 0 0
 187 1077 0 0
 188 1071 0 0
 189 1075 0 0
 190 1072 0 0
 191 1071 0 0
 192 1071 0 0
 193 1074 0 0
 194 1070 0 0
 195 1070 0 0
 196 1075 0 0
 197 1072 0 0
 198 1076 0 0
 199 1073 0 0
 200 1073 0 0
 201 1072 0 0
 202 1075 0 0
 203 1074 0 0
 204 1074 0 0
 205 1072 0 0
 206 1069 0 0
 207 1075 0 0
 208 1076 0 0
 209 1069 0 0
 210 1075 0 0
 211 1071 0 0
 212 1076 0 0
 213 1072 0 0
 214 1068 0 0
 215 1076 0 0
 216 1070 0 0
 217 1070 0 0
