
#TBID:2021-05-07 03:30:00;SAM_84DC;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-05-07_03-30-00_000_929
IDDevice           = SAM_84DC
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-05-07 03:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84DC
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_13-19-54_137_939
IDDataCal = DLAB_2015-08-24_10-46-55_592_608
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 992
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1346 0 0
 2 1333 0 0
 3 1349 0 0
 4 1352 0 0
 5 1345 0 0
 6 1341 0 0
 7 1348 0 0
 8 1346 0 0
 9 1352 0 0
 10 1348 0 0
 11 1351 0 0
 12 1344 0 0
 13 1344 0 0
 14 1352 0 0
 15 1345 0 0
 16 1350 0 0
 17 1354 0 0
 18 1346 0 0
 19 1352 0 0
 20 1355 0 0
 21 1356 0 0
 22 1353 0 0
 23 1356 0 0
 24 1362 0 0
 25 1352 0 0
 26 1352 0 0
 27 1355 0 0
 28 1346 0 0
 29 1349 0 0
 30 1350 0 0
 31 1348 0 0
 32 1357 0 0
 33 1353 0 0
 34 1351 0 0
 35 1351 0 0
 36 1360 0 0
 37 1359 0 0
 38 1354 0 0
 39 1354 0 0
 40 1362 0 0
 41 1357 0 0
 42 1356 0 0
 43 1356 0 0
 44 1358 0 0
 45 1358 0 0
 46 1357 0 0
 47 1362 0 0
 48 1351 0 0
 49 1356 0 0
 50 1357 0 0
 51 1355 0 0
 52 1353 0 0
 53 1356 0 0
 54 1352 0 0
 55 1357 0 0
 56 1354 0 0
 57 1354 0 0
 58 1355 0 0
 59 1355 0 0
 60 1354 0 0
 61 1357 0 0
 62 1351 0 0
 63 1350 0 0
 64 1354 0 0
 65 1354 0 0
 66 1346 0 0
 67 1356 0 0
 68 1353 0 0
 69 1351 0 0
 70 1362 0 0
 71 1358 0 0
 72 1350 0 0
 73 1357 0 0
 74 1354 0 0
 75 1353 0 0
 76 1357 0 0
 77 1349 0 0
 78 1350 0 0
 79 1361 0 0
 80 1355 0 0
 81 1356 0 0
 82 1353 0 0
 83 1355 0 0
 84 1351 0 0
 85 1362 0 0
 86 1350 0 0
 87 1354 0 0
 88 1354 0 0
 89 1355 0 0
 90 1352 0 0
 91 1350 0 0
 92 1352 0 0
 93 1353 0 0
 94 1352 0 0
 95 1350 0 0
 96 1350 0 0
 97 1352 0 0
 98 1354 0 0
 99 1354 0 0
 100 1353 0 0
 101 1355 0 0
 102 1348 0 0
 103 1352 0 0
 104 1358 0 0
 105 1358 0 0
 106 1353 0 0
 107 1360 0 0
 108 1351 0 0
 109 1352 0 0
 110 1355 0 0
 111 1355 0 0
 112 1348 0 0
 113 1350 0 0
 114 1356 0 0
 115 1364 0 0
 116 1354 0 0
 117 1354 0 0
 118 1347 0 0
 119 1351 0 0
 120 1349 0 0
 121 1351 0 0
 122 1354 0 0
 123 1360 0 0
 124 1352 0 0
 125 1349 0 0
 126 1356 0 0
 127 1356 0 0
 128 1353 0 0
 129 1350 0 0
 130 1357 0 0
 131 1353 0 0
 132 1354 0 0
 133 1353 0 0
 134 1351 0 0
 135 1350 0 0
 136 1354 0 0
 137 1354 0 0
 138 1343 0 0
 139 1347 0 0
 140 1353 0 0
 141 1357 0 0
 142 1352 0 0
 143 1355 0 0
 144 1353 0 0
 145 1349 0 0
 146 1352 0 0
 147 1348 0 0
 148 1353 0 0
 149 1349 0 0
 150 1355 0 0
 151 1353 0 0
 152 1351 0 0
 153 1356 0 0
 154 1349 0 0
 155 1351 0 0
 156 1350 0 0
 157 1355 0 0
 158 1352 0 0
 159 1350 0 0
 160 1345 0 0
 161 1349 0 0
 162 1349 0 0
 163 1349 0 0
 164 1347 0 0
 165 1350 0 0
 166 1355 0 0
 167 1357 0 0
 168 1350 0 0
 169 1354 0 0
 170 1351 0 0
 171 1354 0 0
 172 1348 0 0
 173 1356 0 0
 174 1351 0 0
 175 1352 0 0
 176 1349 0 0
 177 1350 0 0
 178 1349 0 0
 179 1351 0 0
 180 1346 0 0
 181 1347 0 0
 182 1356 0 0
 183 1350 0 0
 184 1352 0 0
 185 1355 0 0
 186 1352 0 0
 187 1354 0 0
 188 1346 0 0
 189 1347 0 0
 190 1353 0 0
 191 1349 0 0
 192 1357 0 0
 193 1347 0 0
 194 1349 0 0
 195 1347 0 0
 196 1355 0 0
 197 1354 0 0
 198 1343 0 0
 199 1356 0 0
 200 1352 0 0
 201 1354 0 0
 202 1353 0 0
 203 1358 0 0
 204 1354 0 0
 205 1356 0 0
 206 1354 0 0
 207 1352 0 0
 208 1345 0 0
 209 1349 0 0
 210 1345 0 0
 211 1354 0 0
 212 1351 0 0
 213 1351 0 0
 214 1345 0 0
 215 1351 0 0
 216 1356 0 0
 217 1358 0 0
 218 1351 0 0
