
#TBID:2021-02-27 00:00:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-02-27_00-00-00_000_669
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-02-27 00:00:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 166
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1186 0 0
 2 1185 0 0
 3 1185 0 0
 4 1195 0 0
 5 1187 0 0
 6 1192 0 0
 7 1192 0 0
 8 1190 0 0
 9 1200 0 0
 10 1190 0 0
 11 1198 0 0
 12 1201 0 0
 13 1200 0 0
 14 1197 0 0
 15 1192 0 0
 16 1197 0 0
 17 1199 0 0
 18 1197 0 0
 19 1194 0 0
 20 1202 0 0
 21 1199 0 0
 22 1204 0 0
 23 1208 0 0
 24 1201 0 0
 25 1199 0 0
 26 1208 0 0
 27 1209 0 0
 28 1203 0 0
 29 1202 0 0
 30 1204 0 0
 31 1211 0 0
 32 1208 0 0
 33 1209 0 0
 34 1206 0 0
 35 1212 0 0
 36 1215 0 0
 37 1213 0 0
 38 1215 0 0
 39 1220 0 0
 40 1222 0 0
 41 1221 0 0
 42 1222 0 0
 43 1226 0 0
 44 1227 0 0
 45 1222 0 0
 46 1222 0 0
 47 1231 0 0
 48 1227 0 0
 49 1223 0 0
 50 1222 0 0
 51 1226 0 0
 52 1226 0 0
 53 1228 0 0
 54 1222 0 0
 55 1222 0 0
 56 1223 0 0
 57 1222 0 0
 58 1227 0 0
 59 1222 0 0
 60 1224 0 0
 61 1226 0 0
 62 1230 0 0
 63 1226 0 0
 64 1226 0 0
 65 1223 0 0
 66 1231 0 0
 67 1226 0 0
 68 1237 0 0
 69 1229 0 0
 70 1231 0 0
 71 1236 0 0
 72 1233 0 0
 73 1234 0 0
 74 1230 0 0
 75 1236 0 0
 76 1233 0 0
 77 1235 0 0
 78 1234 0 0
 79 1233 0 0
 80 1240 0 0
 81 1230 0 0
 82 1230 0 0
 83 1230 0 0
 84 1231 0 0
 85 1226 0 0
 86 1225 0 0
 87 1227 0 0
 88 1230 0 0
 89 1228 0 0
 90 1226 0 0
 91 1231 0 0
 92 1228 0 0
 93 1230 0 0
 94 1226 0 0
 95 1228 0 0
 96 1225 0 0
 97 1226 0 0
 98 1230 0 0
 99 1228 0 0
 100 1224 0 0
 101 1222 0 0
 102 1225 0 0
 103 1224 0 0
 104 1224 0 0
 105 1225 0 0
 106 1225 0 0
 107 1220 0 0
 108 1223 0 0
 109 1222 0 0
 110 1222 0 0
 111 1232 0 0
 112 1226 0 0
 113 1227 0 0
 114 1223 0 0
 115 1221 0 0
 116 1215 0 0
 117 1223 0 0
 118 1220 0 0
 119 1224 0 0
 120 1225 0 0
 121 1220 0 0
 122 1219 0 0
 123 1217 0 0
 124 1219 0 0
 125 1220 0 0
 126 1222 0 0
 127 1220 0 0
 128 1220 0 0
 129 1224 0 0
 130 1218 0 0
 131 1224 0 0
 132 1221 0 0
 133 1216 0 0
 134 1219 0 0
 135 1218 0 0
 136 1216 0 0
 137 1222 0 0
 138 1215 0 0
 139 1223 0 0
 140 1215 0 0
 141 1217 0 0
 142 1214 0 0
 143 1220 0 0
 144 1214 0 0
 145 1220 0 0
 146 1222 0 0
 147 1214 0 0
 148 1218 0 0
 149 1212 0 0
 150 1216 0 0
 151 1214 0 0
 152 1213 0 0
 153 1217 0 0
 154 1213 0 0
 155 1210 0 0
 156 1215 0 0
 157 1213 0 0
 158 1210 0 0
 159 1211 0 0
 160 1212 0 0
 161 1219 0 0
 162 1211 0 0
 163 1211 0 0
 164 1213 0 0
 165 1215 0 0
 166 1212 0 0
 167 1210 0 0
 168 1214 0 0
 169 1215 0 0
 170 1208 0 0
 171 1206 0 0
 172 1213 0 0
 173 1209 0 0
 174 1207 0 0
 175 1212 0 0
 176 1208 0 0
 177 1207 0 0
 178 1211 0 0
 179 1212 0 0
 180 1211 0 0
 181 1209 0 0
 182 1206 0 0
 183 1208 0 0
 184 1209 0 0
 185 1208 0 0
 186 1210 0 0
 187 1211 0 0
 188 1204 0 0
 189 1208 0 0
 190 1208 0 0
 191 1210 0 0
 192 1203 0 0
 193 1210 0 0
 194 1205 0 0
 195 1209 0 0
 196 1204 0 0
 197 1210 0 0
 198 1210 0 0
 199 1209 0 0
 200 1210 0 0
 201 1208 0 0
 202 1208 0 0
 203 1212 0 0
 204 1210 0 0
 205 1214 0 0
 206 1208 0 0
 207 1210 0 0
 208 1209 0 0
 209 1211 0 0
 210 1209 0 0
 211 1203 0 0
 212 1208 0 0
 213 1213 0 0
 214 1210 0 0
 215 1212 0 0
 216 1211 0 0
 217 1211 0 0
 218 1213 0 0
