
#TBID:2021-10-17 01:30:00;SAM_84DC;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-10-17_01-30-00_000_109
IDDevice           = SAM_84DC
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-10-17 01:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84DC
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_13-19-54_137_939
IDDataCal = DLAB_2015-08-24_10-46-55_592_608
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 510
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1472 0 0
 2 1458 0 0
 3 1469 0 0
 4 1478 0 0
 5 1474 0 0
 6 1470 0 0
 7 1476 0 0
 8 1481 0 0
 9 1481 0 0
 10 1477 0 0
 11 1481 0 0
 12 1478 0 0
 13 1480 0 0
 14 1487 0 0
 15 1475 0 0
 16 1485 0 0
 17 1488 0 0
 18 1480 0 0
 19 1484 0 0
 20 1484 0 0
 21 1480 0 0
 22 1485 0 0
 23 1493 0 0
 24 1483 0 0
 25 1486 0 0
 26 1491 0 0
 27 1490 0 0
 28 1485 0 0
 29 1495 0 0
 30 1485 0 0
 31 1492 0 0
 32 1497 0 0
 33 1487 0 0
 34 1491 0 0
 35 1491 0 0
 36 1496 0 0
 37 1496 0 0
 38 1493 0 0
 39 1487 0 0
 40 1498 0 0
 41 1492 0 0
 42 1489 0 0
 43 1496 0 0
 44 1496 0 0
 45 1494 0 0
 46 1496 0 0
 47 1498 0 0
 48 1495 0 0
 49 1496 0 0
 50 1493 0 0
 51 1492 0 0
 52 1493 0 0
 53 1489 0 0
 54 1489 0 0
 55 1495 0 0
 56 1494 0 0
 57 1500 0 0
 58 1499 0 0
 59 1498 0 0
 60 1496 0 0
 61 1494 0 0
 62 1494 0 0
 63 1494 0 0
 64 1497 0 0
 65 1488 0 0
 66 1486 0 0
 67 1492 0 0
 68 1500 0 0
 69 1495 0 0
 70 1498 0 0
 71 1501 0 0
 72 1495 0 0
 73 1496 0 0
 74 1499 0 0
 75 1494 0 0
 76 1499 0 0
 77 1499 0 0
 78 1494 0 0
 79 1502 0 0
 80 1499 0 0
 81 1498 0 0
 82 1504 0 0
 83 1491 0 0
 84 1487 0 0
 85 1497 0 0
 86 1496 0 0
 87 1496 0 0
 88 1494 0 0
 89 1491 0 0
 90 1485 0 0
 91 1487 0 0
 92 1492 0 0
 93 1486 0 0
 94 1490 0 0
 95 1489 0 0
 96 1485 0 0
 97 1490 0 0
 98 1488 0 0
 99 1490 0 0
 100 1490 0 0
 101 1490 0 0
 102 1490 0 0
 103 1497 0 0
 104 1494 0 0
 105 1493 0 0
 106 1490 0 0
 107 1499 0 0
 108 1490 0 0
 109 1492 0 0
 110 1491 0 0
 111 1497 0 0
 112 1495 0 0
 113 1489 0 0
 114 1494 0 0
 115 1494 0 0
 116 1487 0 0
 117 1492 0 0
 118 1492 0 0
 119 1489 0 0
 120 1486 0 0
 121 1499 0 0
 122 1488 0 0
 123 1498 0 0
 124 1498 0 0
 125 1490 0 0
 126 1497 0 0
 127 1500 0 0
 128 1490 0 0
 129 1486 0 0
 130 1500 0 0
 131 1496 0 0
 132 1493 0 0
 133 1492 0 0
 134 1489 0 0
 135 1489 0 0
 136 1494 0 0
 137 1491 0 0
 138 1491 0 0
 139 1492 0 0
 140 1492 0 0
 141 1497 0 0
 142 1488 0 0
 143 1493 0 0
 144 1489 0 0
 145 1490 0 0
 146 1488 0 0
 147 1491 0 0
 148 1491 0 0
 149 1489 0 0
 150 1487 0 0
 151 1495 0 0
 152 1494 0 0
 153 1494 0 0
 154 1491 0 0
 155 1491 0 0
 156 1488 0 0
 157 1487 0 0
 158 1491 0 0
 159 1492 0 0
 160 1497 0 0
 161 1487 0 0
 162 1488 0 0
 163 1484 0 0
 164 1491 0 0
 165 1496 0 0
 166 1498 0 0
 167 1498 0 0
 168 1496 0 0
 169 1492 0 0
 170 1494 0 0
 171 1498 0 0
 172 1490 0 0
 173 1494 0 0
 174 1488 0 0
 175 1494 0 0
 176 1493 0 0
 177 1494 0 0
 178 1492 0 0
 179 1489 0 0
 180 1495 0 0
 181 1489 0 0
 182 1492 0 0
 183 1491 0 0
 184 1492 0 0
 185 1492 0 0
 186 1502 0 0
 187 1498 0 0
 188 1489 0 0
 189 1491 0 0
 190 1491 0 0
 191 1492 0 0
 192 1497 0 0
 193 1494 0 0
 194 1488 0 0
 195 1489 0 0
 196 1494 0 0
 197 1498 0 0
 198 1493 0 0
 199 1497 0 0
 200 1492 0 0
 201 1496 0 0
 202 1487 0 0
 203 1496 0 0
 204 1495 0 0
 205 1494 0 0
 206 1498 0 0
 207 1497 0 0
 208 1494 0 0
 209 1493 0 0
 210 1491 0 0
 211 1497 0 0
 212 1490 0 0
 213 1491 0 0
 214 1491 0 0
 215 1501 0 0
 216 1494 0 0
 217 1504 0 0
 218 1494 0 0
