
#TBID:2021-12-18 00:30:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-12-18_00-30-00_000_162
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-12-18 00:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 1715
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1064 0 0
 2 1051 0 0
 3 1062 0 0
 4 1072 0 0
 5 1058 0 0
 6 1061 0 0
 7 1064 0 0
 8 1071 0 0
 9 1066 0 0
 10 1062 0 0
 11 1070 0 0
 12 1065 0 0
 13 1069 0 0
 14 1065 0 0
 15 1058 0 0
 16 1067 0 0
 17 1068 0 0
 18 1066 0 0
 19 1068 0 0
 20 1065 0 0
 21 1069 0 0
 22 1068 0 0
 23 1073 0 0
 24 1070 0 0
 25 1071 0 0
 26 1074 0 0
 27 1074 0 0
 28 1068 0 0
 29 1070 0 0
 30 1074 0 0
 31 1076 0 0
 32 1072 0 0
 33 1072 0 0
 34 1073 0 0
 35 1076 0 0
 36 1076 0 0
 37 1072 0 0
 38 1078 0 0
 39 1080 0 0
 40 1077 0 0
 41 1077 0 0
 42 1083 0 0
 43 1081 0 0
 44 1081 0 0
 45 1080 0 0
 46 1079 0 0
 47 1084 0 0
 48 1082 0 0
 49 1085 0 0
 50 1084 0 0
 51 1082 0 0
 52 1084 0 0
 53 1079 0 0
 54 1088 0 0
 55 1081 0 0
 56 1080 0 0
 57 1081 0 0
 58 1084 0 0
 59 1085 0 0
 60 1084 0 0
 61 1082 0 0
 62 1086 0 0
 63 1084 0 0
 64 1087 0 0
 65 1081 0 0
 66 1082 0 0
 67 1088 0 0
 68 1085 0 0
 69 1090 0 0
 70 1085 0 0
 71 1089 0 0
 72 1090 0 0
 73 1090 0 0
 74 1090 0 0
 75 1089 0 0
 76 1090 0 0
 77 1090 0 0
 78 1091 0 0
 79 1095 0 0
 80 1090 0 0
 81 1090 0 0
 82 1090 0 0
 83 1090 0 0
 84 1086 0 0
 85 1088 0 0
 86 1086 0 0
 87 1091 0 0
 88 1089 0 0
 89 1089 0 0
 90 1085 0 0
 91 1090 0 0
 92 1086 0 0
 93 1094 0 0
 94 1084 0 0
 95 1084 0 0
 96 1084 0 0
 97 1089 0 0
 98 1083 0 0
 99 1090 0 0
 100 1082 0 0
 101 1091 0 0
 102 1083 0 0
 103 1082 0 0
 104 1086 0 0
 105 1084 0 0
 106 1083 0 0
 107 1086 0 0
 108 1082 0 0
 109 1087 0 0
 110 1084 0 0
 111 1086 0 0
 112 1084 0 0
 113 1079 0 0
 114 1081 0 0
 115 1086 0 0
 116 1082 0 0
 117 1086 0 0
 118 1091 0 0
 119 1082 0 0
 120 1084 0 0
 121 1083 0 0
 122 1085 0 0
 123 1081 0 0
 124 1075 0 0
 125 1083 0 0
 126 1083 0 0
 127 1082 0 0
 128 1080 0 0
 129 1079 0 0
 130 1081 0 0
 131 1083 0 0
 132 1084 0 0
 133 1080 0 0
 134 1084 0 0
 135 1079 0 0
 136 1078 0 0
 137 1082 0 0
 138 1081 0 0
 139 1081 0 0
 140 1084 0 0
 141 1079 0 0
 142 1077 0 0
 143 1082 0 0
 144 1086 0 0
 145 1083 0 0
 146 1082 0 0
 147 1078 0 0
 148 1077 0 0
 149 1082 0 0
 150 1077 0 0
 151 1082 0 0
 152 1074 0 0
 153 1080 0 0
 154 1081 0 0
 155 1074 0 0
 156 1075 0 0
 157 1077 0 0
 158 1076 0 0
 159 1082 0 0
 160 1079 0 0
 161 1078 0 0
 162 1079 0 0
 163 1080 0 0
 164 1082 0 0
 165 1079 0 0
 166 1080 0 0
 167 1079 0 0
 168 1077 0 0
 169 1074 0 0
 170 1081 0 0
 171 1078 0 0
 172 1080 0 0
 173 1076 0 0
 174 1079 0 0
 175 1081 0 0
 176 1074 0 0
 177 1078 0 0
 178 1077 0 0
 179 1080 0 0
 180 1078 0 0
 181 1076 0 0
 182 1076 0 0
 183 1076 0 0
 184 1071 0 0
 185 1081 0 0
 186 1075 0 0
 187 1076 0 0
 188 1077 0 0
 189 1073 0 0
 190 1082 0 0
 191 1076 0 0
 192 1072 0 0
 193 1079 0 0
 194 1073 0 0
 195 1075 0 0
 196 1077 0 0
 197 1078 0 0
 198 1080 0 0
 199 1078 0 0
 200 1072 0 0
 201 1076 0 0
 202 1077 0 0
 203 1074 0 0
 204 1078 0 0
 205 1076 0 0
 206 1078 0 0
 207 1084 0 0
 208 1078 0 0
 209 1081 0 0
 210 1074 0 0
 211 1076 0 0
 212 1078 0 0
 213 1075 0 0
 214 1079 0 0
 215 1080 0 0
 216 1077 0 0
 217 1078 0 0
