
#TBID:2021-09-16 03:30:00;SAM_84DC;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-09-16_03-30-00_000_279
IDDevice           = SAM_84DC
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-09-16 03:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84DC
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_13-19-54_137_939
IDDataCal = DLAB_2015-08-24_10-46-55_592_608
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status 
p999 = 27
[END] of [Attributes]
[DATA]
 0 11 0 0
 1 1443 0 0
 2 1438 0 0
 3 1448 0 0
 4 1457 0 0
 5 1451 0 0
 6 1443 0 0
 7 1458 0 0
 8 1456 0 0
 9 1456 0 0
 10 1458 0 0
 11 1459 0 0
 12 1457 0 0
 13 1459 0 0
 14 1463 0 0
 15 1453 0 0
 16 1461 0 0
 17 1460 0 0
 18 1462 0 0
 19 1460 0 0
 20 1457 0 0
 21 1452 0 0
 22 1463 0 0
 23 1470 0 0
 24 1462 0 0
 25 1460 0 0
 26 1470 0 0
 27 1468 0 0
 28 1464 0 0
 29 1464 0 0
 30 1463 0 0
 31 1470 0 0
 32 1463 0 0
 33 1467 0 0
 34 1468 0 0
 35 1466 0 0
 36 1468 0 0
 37 1471 0 0
 38 1471 0 0
 39 1466 0 0
 40 1477 0 0
 41 1467 0 0
 42 1461 0 0
 43 1469 0 0
 44 1476 0 0
 45 1470 0 0
 46 1467 0 0
 47 1471 0 0
 48 1470 0 0
 49 1468 0 0
 50 1468 0 0
 51 1468 0 0
 52 1466 0 0
 53 1469 0 0
 54 1466 0 0
 55 1466 0 0
 56 1462 0 0
 57 1468 0 0
 58 1465 0 0
 59 1470 0 0
 60 1474 0 0
 61 1468 0 0
 62 1466 0 0
 63 1462 0 0
 64 1465 0 0
 65 1463 0 0
 66 1455 0 0
 67 1468 0 0
 68 1463 0 0
 69 1468 0 0
 70 1464 0 0
 71 1470 0 0
 72 1466 0 0
 73 1471 0 0
 74 1473 0 0
 75 1462 0 0
 76 1470 0 0
 77 1463 0 0
 78 1465 0 0
 79 1468 0 0
 80 1463 0 0
 81 1470 0 0
 82 1465 0 0
 83 1469 0 0
 84 1467 0 0
 85 1476 0 0
 86 1461 0 0
 87 1465 0 0
 88 1460 0 0
 89 1465 0 0
 90 1458 0 0
 91 1460 0 0
 92 1461 0 0
 93 1461 0 0
 94 1462 0 0
 95 1460 0 0
 96 1460 0 0
 97 1466 0 0
 98 1458 0 0
 99 1459 0 0
 100 1462 0 0
 101 1456 0 0
 102 1459 0 0
 103 1462 0 0
 104 1461 0 0
 105 1465 0 0
 106 1462 0 0
 107 1465 0 0
 108 1462 0 0
 109 1464 0 0
 110 1466 0 0
 111 1471 0 0
 112 1464 0 0
 113 1462 0 0
 114 1461 0 0
 115 1468 0 0
 116 1462 0 0
 117 1468 0 0
 118 1459 0 0
 119 1465 0 0
 120 1464 0 0
 121 1474 0 0
 122 1464 0 0
 123 1470 0 0
 124 1467 0 0
 125 1461 0 0
 126 1467 0 0
 127 1467 0 0
 128 1464 0 0
 129 1464 0 0
 130 1467 0 0
 131 1469 0 0
 132 1467 0 0
 133 1462 0 0
 134 1465 0 0
 135 1467 0 0
 136 1470 0 0
 137 1468 0 0
 138 1464 0 0
 139 1463 0 0
 140 1459 0 0
 141 1470 0 0
 142 1467 0 0
 143 1468 0 0
 144 1462 0 0
 145 1461 0 0
 146 1457 0 0
 147 1470 0 0
 148 1465 0 0
 149 1467 0 0
 150 1459 0 0
 151 1470 0 0
 152 1465 0 0
 153 1472 0 0
 154 1466 0 0
 155 1462 0 0
 156 1463 0 0
 157 1474 0 0
 158 1465 0 0
 159 1466 0 0
 160 1465 0 0
 161 1467 0 0
 162 1462 0 0
 163 1462 0 0
 164 1465 0 0
 165 1461 0 0
 166 1468 0 0
 167 1469 0 0
 168 1469 0 0
 169 1469 0 0
 170 1465 0 0
 171 1469 0 0
 172 1466 0 0
 173 1468 0 0
 174 1466 0 0
 175 1469 0 0
 176 1464 0 0
 177 1466 0 0
 178 1468 0 0
 179 1463 0 0
 180 1464 0 0
 181 1467 0 0
 182 1473 0 0
 183 1468 0 0
 184 1463 0 0
 185 1464 0 0
 186 1462 0 0
 187 1472 0 0
 188 1464 0 0
 189 1464 0 0
 190 1467 0 0
 191 1468 0 0
 192 1479 0 0
 193 1472 0 0
 194 1469 0 0
 195 1464 0 0
 196 1469 0 0
 197 1474 0 0
 198 1466 0 0
 199 1477 0 0
 200 1471 0 0
 201 1475 0 0
 202 1466 0 0
 203 1471 0 0
 204 1473 0 0
 205 1475 0 0
 206 1476 0 0
 207 1475 0 0
 208 1469 0 0
 209 1473 0 0
 210 1465 0 0
 211 1470 0 0
 212 1467 0 0
 213 1470 0 0
 214 1469 0 0
 215 1478 0 0
 216 1472 0 0
 217 1472 0 0
 218 1474 0 0
